FIPS,F-VALUES
08001,-4.90860308066053
08005,-5.266563671995935
08007,-5.058715530005969
08013,-5.225782591240272
08014,-5.106533288250395
08015,-5.069452663988459
08019,-5.040921476341983
08031,-6.112303368825039
08033,-5.045018753086998
08035,-4.656731409795765
08037,-4.9433213283153385
08039,-5.048170388509272
08041,-4.990491458555824
08043,-4.70288300755469
08045,-4.960591892431533
08047,-5.043815071662919
08051,-5.0051354753893875
08053,-5.043448860942983
08059,-4.9264774688393596
08067,-5.099422278978416
08069,-4.530689358376309
08077,-5.183250098848174
08079,-5.0438368068670485
08083,-5.030614083863046
08093,-5.033898484025311
08097,-5.019637089606563
08111,-5.043875570487268
08113,-5.0523381898776005
08119,-5.033975295217557
08123,-4.112314667611115
10001,-4.52763257795534
10005,-3.2378259975627355
26005,-4.6022086469728265
26009,-4.876072853753232
26015,-4.8013554880435665
26021,-3.955130827032397
26027,-4.552684494478264
26029,-4.880957828667666
26031,-4.996673906891103
26035,-4.987017200548778
26039,-4.97016477959793
26047,-4.844670298001257
26055,-4.719951234569152
26077,-3.438963623264325
26079,-4.959163083917615
26081,-3.089768824005543
26085,-4.954715019469822
26091,-4.442909854466848
26101,-4.896157528676368
26105,-4.914182886467335
26107,-4.897923321610026
26113,-5.027041859046069
26115,-3.133015188194779
26117,-4.80284859536819
26119,-5.01471199425434
26121,-4.483990408984918
26123,-4.678447888878676
26127,-4.895241152733833
26133,-4.981113431938699
26135,-5.0162209318963065
26137,-4.889380885120259
26139,-4.30834441465653
26159,-4.547194760866244
26165,-4.977691170207488
34005,-5.384898496875116
34013,-5.678395968750051
34019,-4.368337614960691
34021,-4.905508712886937
34023,-3.1589408967509476
34025,-1.0847137092764072
34027,-2.2203173128493425
34029,-1.4055556286056898
34031,-5.1571953557580335
34035,-4.488963326692939
34037,-4.593095827364015
34039,-5.238382449062022
34041,-4.596151434373639
39005,-5.093619493047844
39007,-4.45445127131617
39019,-5.075977943022628
39021,-5.183823194855141
39023,-4.71596462527365
39029,-5.03981854166184
39033,-5.168853727937098
39035,10.0
39039,-5.128305759064633
39041,-5.737116856695932
39043,-4.873439877499517
39047,-5.1096570749751935
39049,-10.0
39051,-5.1016441719567025
39055,-4.467673798767218
39057,-5.5489848812033244
39069,-5.116524798514871
39075,-5.171954084811058
39077,-4.962026973206652
39083,-5.082918838058725
39085,-3.0686207472499385
39093,-2.5168075939904107
39095,-1.6746637165499205
39097,-5.1068894511170475
39099,-4.165010567903544
39101,-5.201405343477562
39103,-4.757078109197053
39117,-5.130282810590035
39123,-4.895301775907391
39133,-4.305338007525838
39137,-5.155070505462459
39139,-5.011588405707637
39143,-4.886042193197085
39147,-5.149306111672121
39151,-4.285559288837013
39153,0.025195538428199882
39155,-4.436219861411491
39157,-5.474105237462827
39159,-5.194665213704745
39169,-5.225765090512127
39171,-5.153326512294965
39173,-4.979186681143359
39175,-5.121553804245659
42001,-5.108732489006774
42003,-1.623779391760987
42005,-4.993283060991343
42007,-5.153382912844809
42009,-5.04683688401343
42011,-3.2499312208484223
42013,-4.927786026276689
42015,-5.006501005685345
42017,-4.671116794461745
42019,-4.533685022710916
42021,-4.9685733328021975
42023,-5.047146384272085
42027,-4.7664499005373715
42029,-5.347379601577565
42031,-5.024693057604614
42033,-4.984720916234845
42035,-5.07505629705738
42039,-4.92724988398201
42041,-5.139039727809161
42043,-5.1383323362027165
42047,-5.057282044963411
42049,-4.49659690443788
42051,-4.827773793680149
42053,-5.0443937918984
42055,-5.044312376183392
42057,-5.055871609469134
42059,-5.008445032184698
42061,-5.041147234107273
42063,-5.018641972707847
42065,-5.067428173881048
42067,-5.0776541144192455
42071,-5.817999655032291
42073,-5.019084792087309
42075,-4.984764144219027
42077,-5.134309245216948
42081,-5.103329778462116
42083,-5.0171979679291345
42085,-4.888911115143767
42087,-5.058858885024562
42089,-4.859002375785281
42091,-5.08989073692573
42095,-4.588606460395023
42099,-5.1111377847874815
42103,-5.041524389158328
42105,-5.059695517208607
42111,-5.030728817797442
42113,-5.048433986259791
42115,-5.028928521148393
42117,-5.056476148580056
42121,-5.030757892382226
42123,-5.023966586163625
42125,-4.3991217177289785
42127,-5.0342387708272325
42129,-3.693184278256176
42131,-5.042007891145382
42133,-4.951391546129487
50001,-5.0606463972139135
50005,-4.759733888063325
50007,-2.4367720452658626
50009,-4.9701191827126765
50011,-4.407644677173312
50013,-4.9827888903746365
50015,-4.739821315932549
50019,-4.575685931286735
54001,-4.891382444336323
54003,-4.106486615380821
54007,-4.796607070118853
54009,-4.892106818411682
54013,-4.794651169646185
54015,-4.972282005101993
54017,-4.938940679283683
54021,-4.941227144352525
54023,-4.938662923012319
54025,-4.382521145138928
54027,-4.762676185914717
54029,-4.854242284959851
54031,-4.902348408389149
54033,-3.7458902127439737
54035,-4.887209241287222
54037,-4.204173052381399
54041,-4.8454846613047815
54049,-3.5038984914689193
54057,-4.876160058831765
54061,-2.4775325058007134
54063,-4.890373727458191
54065,-4.997472415096417
54067,-4.7105661420243
54071,-5.016922671456425
54073,-4.986351937866414
54075,-4.956735623329557
54077,-4.642642564405068
54083,-4.830133044622056
54085,-4.908110565566356
54087,-4.8621337034513665
54089,-4.939206099638306
54091,-4.8844590008347915
54093,-5.040660929054586
54095,-4.972798684221391
54097,-4.67510851507847
54101,-4.905053768357619
54103,-4.793003835951587
54105,-5.026157715976202
54107,-3.8661598693963226
