"FIPS","F_VALUE","STATE","EP_POV150","EP_MINRTY","E_UNEMP"
4019,1.97198495406696,"Arizona",25.9,48.9,33203
4021,0.122324153275559,"Arizona",21.8,43.8,12760
4023,-0.0101066149027344,"Arizona",36.6,84.9,1624
6019,-0.176013140846324,"California",32.6,71.3,39697
6025,-0.0243593249713877,"California",36.3,89.8,9444
6027,-0.00117845478297791,"California",16.3,38.9,330
6029,0.0156412618090021,"California",33.8,66.8,34847
6031,-0.0230345015163754,"California",27.9,68.4,4952
6037,3.22669685048624,"California",23.7,74.1,338720
6051,-0.000700843836723974,"California",17.2,35.1,202
6059,0.761338849286338,"California",16.9,60.2,83099
6065,0.537710635847453,"California",21.6,65.6,82367
6071,0.586765601519873,"California",25.1,72.4,72961
6073,-0.929824358152351,"California",18.3,55.1,104435
6083,0.0276361478813137,"California",21.8,56.1,12848
6107,0.0271280684876071,"California",35.9,72.2,20214
6109,-0.0112364666140029,"California",17.4,20.3,1646
6111,0.11835976023824,"California",16,55.1,22114
8001,0.024097167106541,"Colorado",17.9,50.9,11260
8005,-0.0401657586270461,"Colorado",13.5,40.5,15920
8007,-0.00285179157068399,"Colorado",17.2,23.8,280
8013,-0.032844529342672,"Colorado",16.2,22.8,8317
8014,-0.0114362813753977,"Colorado",8,23.6,1455
8015,-0.00477937706587548,"Colorado",20,14.9,214
8019,0.000342688427358258,"Colorado",11.9,11.8,235
8031,-0.191997297189765,"Colorado",19.4,45.8,18531
8033,-0.000392875759170335,"Colorado",11.2,20.7,33
8035,0.0693144644039713,"Colorado",5.2,18.6,6680
8037,0.0178643687911792,"Colorado",15.5,33.6,1326
8039,-0.000958673553629692,"Colorado",11.2,12.9,250
8041,0.00939614449537226,"Colorado",17.3,31.6,20725
8043,0.0610290922958186,"Colorado",23.3,21.1,859
8045,0.0147638683281654,"Colorado",15.1,32.2,1324
8047,-0.000176784681451633,"Colorado",9.1,14.2,76
8051,0.00676717530436169,"Colorado",19.6,13.5,444
8053,-0.000111040650215471,"Colorado",18.8,13.6,19
8059,0.020888265043372,"Colorado",11.4,22.3,13068
8067,-0.010159676431174,"Colorado",17.8,22.2,1172
8069,0.0919421814927724,"Colorado",16.7,18,9938
8077,-0.0252088776368208,"Colorado",22.5,19.1,5269
8079,-0.000180686697043889,"Colorado",17.5,17.6,27
8083,0.00219312451840871,"Colorado",23.4,28,534
8093,0.001603492115245,"Colorado",14.1,12.2,547
8097,0.00416377096317733,"Colorado",8,15.5,409
8111,-0.00018764574144048,"Colorado",26.5,25.1,20
8113,-0.00170689868312248,"Colorado",19,14.5,158
8119,0.00158970257510495,"Colorado",15.5,13.8,491
8123,0.167050956962037,"Colorado",17.8,34.9,8310
10001,0.0924909504297209,"Delaware",21.8,39.4,5238
10005,0.324043659003716,"Delaware",18.7,25.4,5129
12059,0.0440770183022488,"Florida",35.8,13.7,410
12091,0.599895015136175,"Florida",19,27.1,3959
12113,0.465609250205798,"Florida",17.5,18.3,4463
12131,0.328132983807536,"Florida",18.5,16,1675
13137,0.274284660325098,"Georgia",23.2,23.7,486
13139,0.568298859899305,"Georgia",22.6,39.7,3507
13187,0.121610925458957,"Georgia",28.2,9.5,785
13241,0.0689615976749734,"Georgia",32.6,12,275
13257,0.0560475991618853,"Georgia",22.8,18.2,741
13311,0.164339482371546,"Georgia",18.3,7.7,491
16049,1.30812019011387,"Idaho",28.7,9.2,303
17021,0.13654628018981,"Illinois",23.2,5.1,529
17035,0.059630301663994,"Illinois",19.8,3.5,133
17049,0.124128392270122,"Illinois",19.2,4.4,466
