FIPS,F-VALUES
08001,0.26626005478574205
08005,0.178676059401273
08007,-0.03011288443460646
08013,0.15070568668171677
08014,0.34452059259702567
08015,-0.07701270131790276
08019,0.13121118448323818
08031,-0.05073750270256206
08033,0.12019255280583724
08035,0.2696504029941731
08037,0.043627189098769135
08039,0.050125356498262
08041,0.28179915074105105
08043,0.3487585278575645
08045,0.2891449051926517
08047,-2.0123364702972997
08051,0.2789738605673585
08053,0.2278361084235234
08059,0.29225272438371347
08067,0.28377685386263585
08069,0.19393262633921277
08077,0.10804380505895923
08079,0.32078815513800824
08083,-7.814917429027059
08093,0.30920446542586877
08097,0.08685412875626512
08111,0.0179170485181669
08113,0.321635742190116
08119,0.2704979900462809
08123,0.11934496575372947
10001,0.2586317713167721
10005,0.3233309162943316
26005,0.21483977362453766
26009,0.33971759930174833
26015,0.24394026241357092
26021,0.21625241871138393
26027,0.3041189431132222
26029,0.23179151466669295
26031,0.2829292668105281
26035,0.1467502804385472
26039,0.1605942022896407
26047,0.19082480714815098
26055,0.3292640256590859
26077,0.2320740436840622
26079,0.2885798471579132
26081,0.3173978069295772
26085,-0.4714232095653828
26091,0.03515131857769145
26101,0.12725577824006862
26105,0.3154201038079924
26107,0.2238807021803538
26113,0.3400001283191176
26115,0.3281339095896089
26117,0.3035538850784837
26119,-0.14001667219124658
26121,0.3374573671627943
26123,-1.0590835656934332
26127,-0.3634971249303274
26133,0.0032255396149656512
26135,0.2953605435747753
26137,-0.887305923132926
26139,0.1586164991680559
26159,0.3253086194159164
26165,0.3173978069295772
27001,0.2258584053019386
27005,0.34056518635385613
27007,0.23998485617040133
27009,0.26286970657731096
27011,-0.8647036017433857
27013,0.3210706841553775
27017,0.08854930286048064
27019,-0.20528087520354454
27021,
27023,
27025,
27027,
27029,
27031,
27033,
27037,
27039,
27041,
27043,
27045,
27047,
27049,
27051,
27053,
27055,
27059,
27061,
27063,
27065,
27067,
27071,
27075,
27079,
27081,
27083,
27085,
27087,
27091,
27093,
27095,
27097,
27099,
27101,
27103,
27105,
27107,
27109,
27111,
27115,
27117,
27119,
27121,
27127,
27129,
27131,
27133,
27137,
27139,
27141,
27143,
27145,
27147,
27149,
27151,
27153,
27155,
27157,
27161,
27163,
27167,
27169,
27171,
34005,
34013,
34019,
34021,
34023,
34025,
34027,
34029,
34031,
34035,
34037,
34039,
34041,
39005,
39007,
39019,
39021,
39023,
39029,
39033,
39035,
39039,
39041,
39043,
39047,
39049,
39051,
39055,
39057,
39069,
39075,
39077,
39083,
39085,
39093,
39095,
39097,
39099,
39101,
39103,
39117,
39123,
39133,
39137,
39139,
39143,
39147,
39151,
39153,
39155,
39157,
39159,
39169,
39171,
39173,
39175,
42001,
42003,
42005,
42007,
42009,
42011,
42013,
42015,
42017,
42019,
42021,
42023,
42027,
42029,
42031,
42033,
42035,
42039,
42041,
42043,
42047,
42049,
42051,
42053,
42055,
42057,
42059,
42061,
42063,
42065,
42067,
42071,
42073,
42075,
42077,
42081,
42083,
42085,
42087,
42089,
42091,
42095,
42099,
42103,
42105,
42111,
42113,
42115,
42117,
42121,
42123,
42125,
42127,
42129,
42131,
42133,
50001,
50005,
50007,
50009,
50011,
50013,
50015,
50019,
54001,
54003,
54007,
54009,
54013,
54015,
54017,
54021,
54023,
54025,
54027,
54029,
54031,
54033,
54035,
54037,
54041,
54049,
54057,
54061,
54063,
54065,
54067,
54071,
54073,
54075,
54077,
54083,
54085,
54087,
54089,
54091,
54093,
54095,
54097,
54101,
54103,
54105,
54107,
